StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,"変数AはすでにメソッドBで定義されています",,,"keisan",変数,"test(int)",メソッド,,,1386209831555,1386209899044,0:00:17,true,6,1,17,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,"シンボルを見つけられません","s",変数,,,,,,,1386209831555,1386209942494,0:00:00,true,6,0,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,"シンボルを見つけられません","x",変数,,,,,,,1386209831555,1386209881286,0:00:18,true,6,2,18,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,"シンボルを見つけられません","x",変数,,,,,,,1386209831555,1386209881286,0:00:18,true,6,2,18,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,"シンボルを見つけられません","a",変数,,,,,,,1386209831555,1386209844339,0:00:06,true,6,2,6,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,"シンボルを見つけられません","a",変数,,,,,,,1386209831555,1386209844339,0:00:06,true,6,2,6,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386231484572\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386231484572,1386234751090,0:00:13,false,2,2,13,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386231484572\ProjectBase\Coin.java,"構文解析中にファイルの終わりに移りました",,,,,,,,,1386231484572,1386231944091,0:00:00,false,2,1,0,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386234743433\ProjectBase\Coin.java,"';'がありません",,,,,,,,,1386234743433,1386234751090,0:00:03,true,2,2,3,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386234751090\ProjectBase\Coin.java,"return文が指定されていません",,,,,,,,,1386234751090,1386234786676,0:00:35,true,1,1,35,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235141973\ProjectBase\Coin.java,"')'がありません",,,,,,,,,1386235141973,1386235150261,0:00:08,true,2,1,8,false
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386235141973\ProjectBase\Coin.java,"式の開始が不正です",,,,,,,,,1386235141973,1386235199441,0:00:07,true,2,5,7,false
