StudentName,Lecture,FileName,ErrorMessage,シンボル,シンボルの種類,ワードA,ワードAの種類,ワードB,ワードBの種類,ワードC,ワードCの種類,発生時刻,修正時刻,修正時間,isWorking,複合数,同時修正数,CT(sec),GeneRef
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209258400\ProjectBase\BMI2.java,<identifier>がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:08,TRUE,1,1,8,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,クラスAのメソッドBは指定された型に適用できません。,,,BMI2,クラス,test,メソッド,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,変数AはすでにメソッドBで定義されています,,,x,変数,"test(double,double)",メソッド,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,変数AはすでにメソッドBで定義されています,,,y,変数,"test(double,double)",メソッド,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,シンボルを見つけられません,s,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,シンボルを見つけられません,x,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,シンボルを見つけられません,x,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,シンボルを見つけられません,x,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,シンボルを見つけられません,y,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209266409\ProjectBase\BMI2.java,シンボルを見つけられません,x,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:58,TRUE,9,9,58,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209794405\ProjectBase\BMI2.java,';'がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:05,TRUE,6,5,5,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209794405\ProjectBase\BMI2.java,';'がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:05,TRUE,6,5,5,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209794405\ProjectBase\BMI2.java,';'がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:11,TRUE,6,1,11,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209794405\ProjectBase\BMI2.java,式の開始が不正です,,,,,,,,,1.38621E+12,1.38621E+12,0:00:05,TRUE,6,5,5,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209794405\ProjectBase\BMI2.java,')'がありません,,,,,,,,,1.38621E+12,1.38621E+12,0:00:05,TRUE,6,5,5,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209794405\ProjectBase\BMI2.java,式の開始が不正です,,,,,,,,,1.38621E+12,1.38621E+12,0:00:05,TRUE,6,5,5,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,変数AはすでにメソッドBで定義されています,,,keisan,変数,test(int),メソッド,,,1.38621E+12,1.38621E+12,0:00:17,TRUE,6,1,17,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,シンボルを見つけられません,s,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:00,TRUE,6,0,0,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,シンボルを見つけられません,x,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:18,TRUE,6,2,18,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,シンボルを見つけられません,x,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:18,TRUE,6,2,18,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,シンボルを見つけられません,a,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:06,TRUE,6,2,6,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386209831555\ProjectBase\BMI2.java,シンボルを見つけられません,a,変数,,,,,,,1.38621E+12,1.38621E+12,0:00:06,TRUE,6,2,6,FALSE
NA,NA,C:\Users\student\.ppvdata\ppv.data\cash\ia13062\ia13062-10\1386231484572\ProjectBase\Coin.java,';'がありません,,,,,,,,,1.38623E+12,1.38623E+12,0:00:13,FALSE,2,2,13,FALSE
